"Template[Asset Reference]","AttributeValue[String]","FlavorText[String]"
"264BA7E281B62778","curved terracotta roof","A house with a curved common roof"
"FDA3D42714870405","T_HnH_Commoner_Roof_02","A house with a rounded common roof"
"3975F3114D3AFC75","curved terracotta roof and veranda","A house with a curved common roof and a veranda"
"C0E9DC12C8ED9C10","T_HnH_Commoner_Roof_04","A house with a  pitched common roof and a veranda"
"4DA4F21F4EA4D661","T_HnH_Commoner_Roof_05","A house with a saddle common roof"
"660515FDD80348C4","T_HnH_Commoner_Roof_06","A house with a saddle common roof and a veranda"
"A3EC8CCF3426311A","curved kawara roof","Roof flavor text to come"
"679646339078F944","barrel vaulted kawara roof","Roof flavor text to come"
"94FABD78E87C1FD9","curved kawara roof and veranda","Roof flavor text to come"
"3E7763818E5C7A5B","kawara roof and veranda","Roof flavor text to come"
"E128A37886D66939","kawara gable roof","Roof flavor text to come"
"4671FDA6E33E6C84","kawara gable roof and veranda","Roof flavor text to come"
"AE346134D84293F1","blue mushroom","Roof flavor text to come"
"E786AD8BFA98D131","red mushroom","Roof flavor text to come"
"CA105E5FF6FD669A","yellow mushroom","Roof flavor text to come"
"2658A936CE696C03","black farmhouse roof","Roof flavor text to come"
"C237FBCF167569A1","curved flower roof","Roof flavor text to come"
"5A137B2DC334D711","barrel vaulted roof coverd in flowers","Roof flavor text to come"
"C29706CDEBD0B5A6","curved flower roof and veranda","Roof flavor text to come"
"89310327FA7C394F","flat flower roof and veranda","Roof flavor text to come"
"D9BA49B154F055BF","gable roof coverd in flowers","Roof flavor text to come"
"15D4FFDF89C5E8C4","gable roof coverd in flower and veranda","Roof flavor text to come"
"C2EBB4F45402F238","curved grass roof","Roof flavor text to come"
"3892EF3DA5BD6D14","barrel vaulted grass roof","Roof flavor text to come"
"951C1125736C8252","curved grass roof and veranda","Roof flavor text to come"
"01CBA085C10B2A0F","flat grass roof and veranda","Roof flavor text to come"
"453C3714D45C0BAD","gable roof coverd in grass","Roof flavor text to come"
"1AE78723A7A1F3A5","gable roof coverd in grass","Roof flavor text to come"
"F26647B0F6ACB6F5","curved straw roof","Roof flavor text to come"
"9A893C508D57BDE1","barrel vaulted roof made of straw","Roof flavor text to come"
"421F052FAD073057","curved straw roof and veranda","Roof flavor text to come"
"3DB55EED78A7DEAB","flat straw roof and veranda","Roof flavor text to come"
"04CDDACFA1D8F1E4","gable roof made of straw","Roof flavor text to come"
"D13B2C2B2700C4C8","gable roof made of straw and veranda","Roof flavor text to come"
"C943659D1541A7F7","curved animal hide roof","Roof flavor text to come"
"5758A8ECFF78841B","barrel vaulted roof coverd in animal hides","Roof flavor text to come"
"FA7F26F9947B03C0","curved animal hide roof and veranda","Roof flavor text to come"
"2D61DF65D14E2EE4","flat animal hide roof and veranda","Roof flavor text to come"
"34E1CF893CC71B4A","gable roof coverd in animal hides","Roof flavor text to come"
"4CF3CE8293B923D6","roof coverd in animal hides and veranda","Roof flavor text to come"
"2A97CD6BF492E146","curved terracotta roof","Roof flavor text to come"
"74959024CFA7BC30","barrel vaulted terracotta roof","Roof flavor text to come"
"EF150EFBFBF30784","curved terracotta and veranda","Roof flavor text to come"
"9AF59BBFBC996CA8","gambrel terracotta roof and veranda","Roof flavor text to come"
"A8BF3777F88FD648","terracotta gable roof ","Roof flavor text to come"
"88991F97F72487BC","terracotta gable roof and veranda","Roof flavor text to come"