"id[String]","icon[Asset Reference]","mapContent[Asset Reference]","isReplayable[Bool]","rewards[String]","unlocks[String]","gameId[String]","spawnKey[String]"
"Welcome","EE963B7EAE09141A","0BADBADBADBADBAD","False","XP(20), Wait(1.2), Material(Coins=10), Wait(1.75), Item(MapPiece)","Map","485000/lootmmohah","Social"
"Map","1F7E6C713EA06AA0","0BADBADBADBADBAD","False","","Raid1, Beasts1","485000/lootmmohah","Social"
"Raid1","135F9F75305C4FFA","0BADBADBADBADBAD","False","XP(180), Wait(1), Material(Coins=10)","Raid2, Dragons1, Pint, Village1","485000/lootmmohah","Social"
"Lv2","8E63C9B05FD519E8","0BADBADBADBADBAD","False","Material(Coins=20)","TODO","485000/lootmmohah","Social"
"Raid2","7ECCB4F3B7F207C2","0BADBADBADBADBAD","False","Material(Wood=2), Wait(1), RandomItem(Greatness=15)","Equip, Lv5","485000/lootmmohah","Social"
"Raid3","562D3AF405543E14","0BADBADBADBADBAD","False","Material(Coins=10), Wait(1), Material(Linen=1), Wait(0.5), Material(Cotton=1)","","485000/lootmmohah","Social"
"Beasts1","4CE63A3BC6455AD0","CC1990890140FA46","True","Material(Coins=5), Wait(1), Material(Leather=1)","","485000/lootmmohah","Beasts1"
"Village1","E5E526DB3ECC3371","0BADBADBADBADBAD","False","Material(Coins=10), Wait(1), Material(Sapphires=10)","Cart","485000/lootmmohah","Village"
"Dragons1","4CE63A3BC6455AD0","9E51E151F0AD1250","True","XP(RNG[5-30]), Wait(1), Material(Coins=RNG[3-8])","","485000/lootmmohah","Dragons1"
"Undead1","04B14FD9D0C9CBF7","A3857E6AEB5AFF1E","True","Material(Coins=RNG[5-10]), Wait(1), Material(Metal=1)","","485000/lootmmohah","Undead1"
"Spiders1","B148283A6669C779","D0BF72662C5769DB","True","Material(Coins=RNG[7-15]), Wait(1), Material(Silk=1)","","485000/lootmmohah","Spiders1"
"Equip","D52F16542F2B437F","0BADBADBADBADBAD","False","Material(Coins=5)","","485000/lootmmohah","Social"
"Lv5","8E63C9B05FD519E8","0BADBADBADBADBAD","False","Material(RoyalPermits=1), Wait(1), Material(Encantations=1), Wait(1), Material(Gemstones=1), Wait(1), Item(CraftingKey)","Craft1, Lv8","485000/lootmmohah","Social"
"Craft1","0E4510A3AE585DD7","0BADBADBADBADBAD","False","Material(Coins=40)","Raid3, Undead1","485000/lootmmohah","Social"
"Lv8","8E63C9B05FD519E8","0BADBADBADBADBAD","False","Material(Gemstones=1), Wait(0.5), Material(Gemstones=1), Wait(0.5), Material(Encantations=1), Wait(0.5), Material(Encantations=1)","Spiders1","485000/lootmmohah","Social"
"Pig","7F0BBF6A1135B261","0BADBADBADBADBAD","False","Material(Coins=100), Wait(0.5), Material(Metal=5)","","485000/lootmmohah","Social"
"Study","09D26C9842A7CDE1","0BADBADBADBADBAD","False","Wait(0.5), Material(Incense=1)","","485000/lootmmohah","Social"
"Cart","8A7D6241614D31D7","0BADBADBADBADBAD","False","XP(10), Wait(1), Material(Coins=5)","Village2","485000/lootmmohah","Village"
"Village2","E5E526DB3ECC3371","0BADBADBADBADBAD","False","XP(10), Wait(1), Material(Coins=5)","","485000/lootmmohah","Village"
"Pint","359D9B4CDF48F367","0BADBADBADBADBAD","False","XP(40), Wait(1), Material(Coins=15)","ThrowChair, Pinball","485000/lootmmohah","Social"
"Pinball","6F44CFFD6977A504","0BADBADBADBADBAD","False","XP(20), Wait(1), Material(Coins=20)","ThrowChair","485000/lootmmohah","Social"
"ThrowChair","0C81EB3E371487F2","0BADBADBADBADBAD","False","XP(60), Wait(1), Material(Coins=50)","Poker","485000/lootmmohah","Social"
"Poker","C25CC86E574C6FEF","0BADBADBADBADBAD","False","XP(100), Wait(1), Material(Coins=100)","","485000/lootmmohah","Social"
"Potions","6AF3A9538613570F","0BADBADBADBADBAD","False","TODO","TODO","485000/lootmmohah","Social"
"Relic","29B29737AB7E07B1","0BADBADBADBADBAD","False","Material(Gems=5)","","485000/lootmmohah","Social"